+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   Problem ID | LLM    | Prompt Type      | Gen 1                                                                               | Gen 2                                                                               | Gen 3                                                                               |   Pass@1 |   Pass@3 | RawResults                                                                                                                                                                                                                                                                                                                                                                                                                |
|            3 | Vicuna | Chain of Thought | Steps:                                                                              | Steps:                                                                              | Steps:                                                                              |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 9) (<string>, line 9)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 2})]                                     |
|              |        |                  |                                                                                     | 1. Check if the given number is positive.                                           | 1. Decompose the given positive floating point number into an integer par...        |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 1. Check if the input number is positive                                            | 2. If positive, decompose the n...                                                  |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 2. If positive, decompose the n...                                                  |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            4 | Vicuna | Chain of Thought | Steps:                                                                              | Steps:                                                                              | Steps:                                                                              |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 13) (<string>, line 13)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 7) (<string>, line 7)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 2})] |
|              |        |                  |                                                                                     | 1. Initialize a variable to store the balance.                                      |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 1. Initialize a variable balance to store the current balance of the ban...         | 2. Iterate through the lis...                                                       | 1. Initialize a variable balance to store the current balance of the acc...         |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            5 | Vicuna | Chain of Thought | Steps:                                                                              | ```                                                                                 | ...                                                                                 |    33.33 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': "failed: invalid character '’' (U+2019) (<string>, line 12)", 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 2)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                          |
|              |        |                  |                                                                                     | Steps:                                                                              |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 1. Define the input list of numbers.                                                | 1. Define the function mean_absolute_deviation with a List[float] as ...            |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 2. Calculate the mean of the input ...                                              |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            6 | Vicuna | Chain of Thought | Steps:                                                                              | Steps:                                                                              | Steps to solve the problem:                                                         |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 2})]                                                                       |
|              |        |                  | 1. Check if the input list is empty or not                                          |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 2. If the list is empty, retur...                                                   | 1. Create an empty list `result` to store the interspersed numbers.                 | 1. Initialize an empty list called `result`.                                        |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     | 2. I...                                                                             | 2. Ite...                                                                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            7 | Vicuna | Chain of Thought | Steps to solve the problem:                                                         | Steps to solve the problem:                                                         | Step 1: Initialize an empty list to store the levels of nesting.                    |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 2})]                                                                       |
|              |        |                  |                                                                                     |                                                                                     | Step 2: Initial...                                                                  |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 1. Parse the input string and create a list of pair...                              | 1. Split the input string into a list of groups bas...                              |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            8 | Vicuna | Chain of Thought | Steps:                                                                              | Steps:                                                                              | ```python                                                                           |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 2)', 'completion_id': 2})]                                                                    |
|              |        |                  |                                                                                     |                                                                                     | def filter_by_substring(strings: List[str], substring: str) -> List[st...           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 1. Iterate through each string in the list of strings                               | 1. Initialize an empty list called result\_list to store the filtered st...         |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 2. Check if the st...                                                               |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            9 | Vicuna | Chain of Thought | Steps to solve the problem:                                                         | ```                                                                                 | Steps:                                                                              |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 2)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 2})]                                                                       |
|              |        |                  |                                                                                     | # Steps to solve the problem:                                                       |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | 1. Initialize two variables sum and product both to...                              |                                                                                     | 1. Create an empty list to store the results (sum and product).                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     | 1. Create an empty list to store the results                                        | 2. Itera...                                                                         |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     | ...                                                                                 |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|           10 | Vicuna | Chain of Thought | Steps to solve the problem:                                                         | Step 1: Define the function rolling\_max with a parameter list of numbers.          | Steps:                                                                              |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 4)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 2})]                                                                    |
|              |        |                  | 1. Initialize an empty list called result to store t...                             | Step ...                                                                            |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |                                                                                     | 1. Create an empty list to store the rolling maximum elements.                      |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |                                                                                     | 2. Iterat...                                                                        |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            1 | Vicuna | Self-Debugging   | """                                                                                 | ```                                                                                 | for num1, num2 in zip(numbers, numbers[1:]):                                        |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 4)', 'completion_id': 2})]                                                                 |
|              |        |                  |     for i in range(len(numbers)):                                                   | def has_close_elements(numbers: List[float], threshold: float) -> bool:             |         if abs(num1 - num2) < thres...                                              |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |         for j in range(i + 1, len(numbers)...                                       |     ...                                                                             |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            2 | Vicuna | Self-Debugging   | ...                                                                                 | Example:                                                                            | ...                                                                                 |    66.67 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                               |
|              |        |                  |                                                                                     | Input: '( ) (( )) (( )( ))'                                                         |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     | Output: ['()', '(())', '(()())']                                                    |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     | Constrain...                                                                        |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            3 | Vicuna | Self-Debugging   | number = float(input("Enter a positive floating point number: "))                   | number = number - int(number)                                                       | Example:                                                                            |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 2})]                                                              |
|              |        |                  |     if number ...                                                                   |     return number                                                                   |     number = 3.5                                                                    |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |                                                                                     |     integer_part = int(number)                                                      |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |                                                                                     |     decimal_part = numb...                                                          |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     | def main():                                                                         |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |     num1 = float(i...                                                               |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            4 | Vicuna | Self-Debugging   | My solution:                                                                        | This is a function that takes a list of integers representing operations on a ba... | Answer: Here's the first pass of code:                                              |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 5) (<string>, line 5)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 3) (<string>, line 3)', 'completion_id': 2})]   |
|              |        |                  | ```python                                                                           |                                                                                     | ```python                                                                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  | def below_zero(operations: List[int]) -> bool:                                      |                                                                                     | def below_zero(operations: List...                                                  |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |     balanc...                                                                       |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            5 | Vicuna | Self-Debugging   | ...                                                                                 | numbers = numbers[:-1]                                                              | ...                                                                                 |    66.67 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                            |
|              |        |                  |                                                                                     |     total_deviation = 0                                                             |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |     for number in numbers:                                                          |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |                                                                                     |       ...                                                                           |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            6 | Vicuna | Self-Debugging   | ...                                                                                 | Create a function named `intersperse` that takes in a list of integers and an in... | Create a function called intersperse to solve the given prompt. Do this by attem... |    33.33 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 2})]                                                                                                     |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            7 | Vicuna | Self-Debugging   | ...                                                                                 | ...                                                                                 | ...                                                                                 |   100    |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                                                   |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            8 | Vicuna | Self-Debugging   | I've attempted to create the function, but I'm having difficulty with the implem... | ...                                                                                 | def filter_by_substring(strings: List[str], substring: str) -> List[str]:           |    33.33 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 2})]                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |       ...                                                                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            9 | Vicuna | Self-Debugging   | def sum\_product(numbers: List[int]) -> Tuple[int, int]:                            | ...                                                                                 | ...                                                                                 |    66.67 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                            |
|              |        |                  |         if len(numbers)...                                                          |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|           10 | Vicuna | Self-Debugging   | :param numbers: List of integers                                                    | Your solution should handle the following cases:                                    | ...                                                                                 |    33.33 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated triple-quoted string literal (detected at line 37) (<string>, line 12)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                      |
|              |        |                  |     :return: List of integers                                                       | - An empty list returns an empt...                                                  |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |     """                                                                             |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|              |        |                  |     if no...                                                                        |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                           |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
